dependency_url,name,description,category,primary_function,integration_patterns,performance_characteristics,languages,reputation_score,popularity_score
https://github.com/oven-sh/bun,bun,"Incredibly fast JavaScript runtime, bundler, test runner, and package manager – all in one",web_library,Incredibly fast JavaScript runtime bundler test runner and package manager all in one,Frontend component integration; ES6 module imports,"Activity: 75%, Stars: 76508.0, Commits: 352.0","Zig, JavaScript, TypeScript, CSS, Makefile",10,10
https://github.com/zloirock/core-js,core-js,Standard Library,web_library,Standard Library,Frontend component integration; ES6 module imports,"Activity: 74%, Stars: 24860.0, Commits: 359.0","JavaScript, HTML, TypeScript",12,10
https://github.com/paradigmxyz/reth,reth,"Modular, contributor-friendly and blazing-fast implementation of the Ethereum protocol, in Rust",web3_library,Modular contributor-friendly and blazing-fast implementation of the Ethereum protocol in Rust,Web3 provider integration; ES6 module imports,"Activity: 74%, Stars: 2722.0, Commits: 350.0","Rust, Dockerfile, Makefile, JavaScript, Handlebars",7,10
https://github.com/microsoft/playwright,playwright,"Playwright is a framework for Web Testing and Automation. It allows testing Chromium, Firefox and WebKit with a single API. ",development_framework,Playwright is a framework for Web Testing and Automation. It allows testing Chromium Firefox and,Framework scaffolding and templates; ES6 module imports,"Activity: 73%, Stars: 69737.0, Commits: 299.0","JavaScript, Shell, TypeScript, HTML, CSS",10,10
https://github.com/trezor/trezor-firmware,trezor-firmware,:lock: Trezor Firmware Monorepo,general_library,lock Trezor Firmware Monorepo,Python import statements,"Activity: 73%, Stars: 1437.0, Commits: 293.0","Python, C, Makefile, Nix, Dockerfile",6,10
https://github.com/python/mypy,mypy,Optional static typing for Python,general_library,Optional static typing for Python,Python import statements,"Activity: 73%, Stars: 18995.0, Commits: 226.0","Python, Shell, CSS, XSLT, Emacs Lisp",9,10
https://github.com/scipy/scipy,scipy,SciPy library main repository,general_library,SciPy library main repository,Python import statements,"Activity: 73%, Stars: 13406.0, Commits: 346.0","Python, C, Fortran, Makefile, MATLAB",9,10
https://github.com/bytecodealliance/wasmtime,wasmtime,"A lightweight WebAssembly runtime that is fast, secure, and standards-compliant",general_library,A lightweight WebAssembly runtime that is fast secure and standards-compliant,Standard library integration,"Activity: 72%, Stars: 15908.0, Commits: 283.0","Shell, WebAssembly, Rust, C, C++",8,10
https://github.com/angular/angular-cli,angular-cli,CLI tool for Angular,development_tool,CLI tool for Angular,ES6 module imports,"Activity: 72%, Stars: 26851.0, Commits: 297.0","JavaScript, HTML, TypeScript, CSS, Shell",10,10
https://github.com/numpy/numpy,numpy,The fundamental package for scientific computing with Python.,general_library,The fundamental package for scientific computing with Python.,Python import statements,"Activity: 72%, Stars: 28926.0, Commits: 302.0","Python, C, C++, Fortran, Makefile",8,10
https://github.com/briansmith/ring,ring,An experiment.,general_library,An experiment.,Python import statements,"Activity: 72%, Stars: 3892.0, Commits: 121.0","C, Perl, Assembly, Python, Shell",11,10
https://github.com/alloy-rs/alloy,alloy,"Transports, Middleware, and Networks for the Alloy project",infrastructure,Transports Middleware and Networks for the Alloy project,Standard library integration,"Activity: 72%, Stars: 750.0, Commits: 310.0","Rust, Shell",7,10
https://github.com/metamask/core,core,This monorepo is a collection of packages used across multiple MetaMask clients,development_tool,This monorepo is a collection of packages used across multiple MetaMask clients,ES6 module imports,"Activity: 71%, Stars: 250.0, Commits: 229.0","TypeScript, JavaScript, Shell, jq",6,10
https://github.com/burntsushi/jiff,jiff,A datetime library for Rust that encourages you to jump into the pit of success.,general_library,A datetime library for Rust that encourages you to jump into the pit of success.,Standard library integration,"Activity: 71%, Stars: 2050.0, Commits: 91.0","Rust, Shell",13,10
https://github.com/getsentry/sentry-javascript,sentry-javascript,Official Sentry SDKs for JavaScript,web_library,Official Sentry SDKs for JavaScript,Frontend component integration; ES6 module imports,"Activity: 71%, Stars: 8125.0, Commits: 245.0","JavaScript, HTML, TypeScript, Shell, CSS",8,10
https://github.com/electron/electron,electron,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS",web_library,electron Build cross-platform desktop apps with JavaScript HTML and CSS,Frontend component integration; Python import statements,"Activity: 71%, Stars: 115641.0, Commits: 246.0","C++, C, Objective-C++, Objective-C, Python",10,10
https://github.com/rust-lang/cargo,cargo,The Rust package manager,web_library,The Rust package manager,Frontend component integration; ES6 module imports,"Activity: 71%, Stars: 13221.0, Commits: 310.0","Shell, Rust, Roff, JavaScript, Python",10,10
https://github.com/ethereum/go-ethereum,go-ethereum,Go implementation of the Ethereum protocol,web3_library,Go implementation of the Ethereum protocol,Web3 provider integration,"Activity: 71%, Stars: 47255.0, Commits: 241.0","Go, Java, Shell, C, Makefile",9,10
https://github.com/foundry-rs/foundry,foundry,"Foundry is a blazing fast, portable and modular toolkit for Ethereum application development written in Rust.",web3_library,Foundry is a blazing fast portable and modular toolkit for Ethereum application development written in,Web3 provider integration,"Activity: 71%, Stars: 8163.0, Commits: 301.0","Rust, Solidity, Shell, Dockerfile, Nix",7,10
https://github.com/hyperledger/besu,besu,"An enterprise-grade Java-based, Apache 2.0 licensed Ethereum client https://wiki.hyperledger.org/display/besu",web3_library,An enterprise-grade Java-based Apache 2.0 licensed Ethereum client https wiki.hyperledger.org display besu,Web3 provider integration; ES6 module imports,"Activity: 71%, Stars: 1483.0, Commits: 253.0","JavaScript, Java, Shell, Dockerfile, Solidity",7,10
https://github.com/prysmaticlabs/prysm,prysm,Go implementation of Ethereum proof of stake,web3_library,Go implementation of Ethereum proof of stake,Web3 provider integration,"Activity: 71%, Stars: 3456.0, Commits: 247.0","Go, Shell, Dockerfile, Starlark, Smarty",7,10
https://github.com/vercel/vercel,vercel,Develop. Preview. Ship.,web_library,Develop. Preview. Ship.,Frontend component integration; ES6 module imports,"Activity: 70%, Stars: 12655.0, Commits: 231.0","JavaScript, TypeScript, Go, Python, Ruby",9,10
https://github.com/sphinx-doc/sphinx,sphinx,The Sphinx documentation generator,documentation,The Sphinx documentation generator,ES6 module imports,"Activity: 70%, Stars: 6871.0, Commits: 240.0","Makefile, Python, TeX, HTML, JavaScript",9,10
https://github.com/huggingface/huggingface.js,huggingface.js,Utilities to use the Hugging Face Hub API,api_service,Utilities to use the Hugging Face Hub API,REST/GraphQL API integration; ES6 module imports,"Activity: 70%, Stars: 1533.0, Commits: 211.0","JavaScript, TypeScript, HTML, Svelte, Shell",9,10
https://github.com/reown-com/appkit,appkit,The full stack toolkit to build onchain app UX,development_tool,The full stack toolkit to build onchain app UX,ES6 module imports,"Activity: 70%, Stars: 5060.0, Commits: 230.0","JavaScript, TypeScript, MDX, Shell, CSS",7,10
https://github.com/facebook/watchman,watchman,"Watches files and records, or triggers actions, when they change. ",web_library,Watches files and records or triggers actions when they change.,Frontend component integration; ES6 module imports,"Activity: 70%, Stars: 12952.0, Commits: 349.0","C, Shell, JavaScript, Python, Ruby",9,10
https://github.com/webgptorg/promptbook,promptbook,It's time for a paradigm shift! The future of software is in plain English ✨,web_library,It s time for a paradigm shift The future of software is in plain English,Frontend component integration; ES6 module imports,"Activity: 70%, Stars: 100.0, Commits: 274.0","JavaScript, TypeScript, OpenSCAD, HTML, Shell",4,10
https://github.com/vitest-dev/vitest,vitest,Next generation testing framework powered by Vite.,development_framework,Next generation testing framework powered by Vite.,Framework scaffolding and templates; ES6 module imports,"Activity: 70%, Stars: 12249.0, Commits: 240.0","TypeScript, JavaScript, Vue, HTML, CSS",9,10
https://github.com/hickory-dns/hickory-dns,hickory-dns,"A Rust based DNS client, server, and resolver",development_tool,A Rust based DNS client server and resolver,Standard library integration,"Activity: 70%, Stars: 4336.0, Commits: 219.0","Rust, Shell, Just, Dockerfile, Jinja",9,10
https://github.com/salsa-rs/salsa,salsa,"A generic framework for on-demand, incrementalized computation. Inspired by adapton, glimmer, and rustc's query system.",development_framework,A generic framework for on-demand incrementalized computation. Inspired by adapton glimmer and rustc s query,Framework scaffolding and templates; ES6 module imports,"Activity: 69%, Stars: 2225.0, Commits: 85.0","Rust, Emacs Lisp, JavaScript, CSS, Shell",9,10
https://github.com/electron-userland/electron-builder,electron-builder,A complete solution to package and build a ready for distribution Electron app with “auto update” support out of the box,web_library,A complete solution to package and build a ready for distribution Electron app with auto,Frontend component integration; ES6 module imports,"Activity: 69%, Stars: 13868.0, Commits: 139.0","JavaScript, Smarty, Shell, TypeScript, NSIS",9,10
https://github.com/graphql-hive/gateway,gateway,GraphQL gateway that can act as a Federation Gateway or a Proxy Gateway for any GraphQL service.,api_service,GraphQL gateway that can act as a Federation Gateway or a Proxy Gateway for any,REST/GraphQL API integration; ES6 module imports,"Activity: 69%, Stars: 31.0, Commits: 82.0","JavaScript, TypeScript, HTML, HCL, Dockerfile",9,4
https://github.com/nextest-rs/quick-junit,quick-junit,"A serializer for JUnit reports, used by cargo-nextest",web_library,A serializer for JUnit reports used by cargo-nextest,Frontend component integration,"Activity: 69%, Stars: 4.0, Commits: 231.0","Shell, Awk, Rust",8,1
https://github.com/pydantic/pydantic,pydantic,Data validation using Python type hints,general_library,Data validation using Python type hints,Python import statements,"Activity: 69%, Stars: 22631.0, Commits: 220.0","Makefile, Python, Shell",11,10
https://github.com/ipython/ipython,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website, documentation builds, etc.",web_library,Official repository for IPython itself. Other repos in the IPython organization contain things like the,Frontend component integration; Python import statements,"Activity: 69%, Stars: 16415.0, Commits: 118.0","Python, Makefile, Shell, Batchfile",9,10
